trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 1, 'e': 0.8179999999999998}",20,0,-34.76695427548972,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
183,False,"{'a': 1, 'e': 0.8169999999999998}",25,0,-179.19826942642936,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
184,False,"{'a': 1, 'e': 0.8159999999999998}",35,0,-82.19985831535692,"{0: 26, 1: 3, 2: 2, 3: 4, 4: 0}",0
185,False,"{'a': 1, 'e': 0.8149999999999998}",20,0,-115.07753230455236,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
186,False,"{'a': 1, 'e': 0.8139999999999998}",25,0,-129.42254281662122,"{0: 16, 1: 1, 2: 3, 3: 4, 4: 1}",0
187,False,"{'a': 1, 'e': 0.8129999999999998}",25,9,-4.701162140350132,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
188,False,"{'a': 1, 'e': 0.8119999999999998}",25,0,-77.27274257565007,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
189,False,"{'a': 1, 'e': 0.8109999999999998}",25,0,-149.19187263363392,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
190,False,"{'a': 1, 'e': 0.8099999999999998}",30,0,-116.2319391301742,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
191,False,"{'a': 1, 'e': 0.8089999999999998}",25,0,-56.34607541773376,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
